entity_name,bf_match_count,bf_first_result_name,bf_entity_number,bf_status,bf_entity_type,bf_formation_date,bf_jurisdiction,bf_agent_name,bf_agent_type,bf_agent_is_individual,bf_agent_address,bf_principal_address,bf_mailing_address,bf_statement_due_date,bf_inactive_date,bf_standing_sos,bf_standing_ftb,bf_standing_agent,bf_standing_vcfcf,bf_agent_address_matches_principal,bf_likely_owner_name,bf_operator_pattern,bf_multi_entity_operator,bf_query_used,bf_query_attempts,bf_name_similarity,bf_score,bf_alternates,bf_fetched_at,bf_error
"Fresh Squeezed Akash, Llc",1,"FRESH SQUEEZED AKASH, LLC (201922610336)",201922610336,Active,Limited Liability Company - CA,08/08/2019,CALIFORNIA,DAVID N BUFFINGTON,Individual,True,"716 CORPORATE CENTER DR, POMONA, CA  91768","716 CORPORATE CENTER DR, POMONA, CA 91768","716 CORPORATE CENTER DR, POMONA,CA91768",08/31/2025,,Good,Good,Good,Good,True,DAVID N BUFFINGTON,owner_operator,,"Fresh Squeezed Akash, Llc",,1.000,,,2026-04-24T11:39:56.090898+00:00,
"Noble Pursuit, Llc",1,"NOBLE PURSUIT, LLC (201711110515)",201711110515,Active,Limited Liability Company - Out of State,04/13/2017,DELAWARE,Fernando Gonzalez,Individual,True,"1077 S. MISSION RD, FALLBROOK, CA  92028","3801BAYSHORE BLVD NE, ST. PETERSBURG, FL 33703","3801 BAYSHORE BLVD NE, ST. PETERSBURG,FL33703",04/30/2027,,Good,Good,Good,Good,False,Fernando Gonzalez (no addr match),out_of_state_holdco,,"Noble Pursuit, Llc",,1.000,,,2026-04-24T11:40:48.822279+00:00,
"Fried With Pride, Inc.",1,"FRIED WITH PRIDE, INC. (4573230)",4573230,Active,Stock Corporation - CA - General,02/27/2020,CALIFORNIA,JEFF BAKER,Individual,True,"10 CALLE FRUTAS, SAN CLEMENTE, CA  92673","10 CALLE FRUTAS, SAN CLEMENTE, CA 92673","10 CALLE FRUTAS, SAN CLEMENTE,CA92673",02/28/2026,,Good,Good,Good,Good,True,JEFF BAKER,owner_operator,,"Fried With Pride, Inc.",,1.000,,,2026-04-24T11:41:09.225752+00:00,
J. F. Desmond Family Limited Partnership,1,J.F. DESMOND FAMILY LIMITED PARTNERSHIP (199329400006),199329400006,Active,Limited Partnership - CA,10/20/1993,CALIFORNIA,LOREAN HAUPT,Individual,True,"312 WEST CROMWELL AVE, FRESNO, CA  93711","312 W. CROMWELL STREET, FRESNO, CA 93711",N/A,,,,Good,Good,,True,LOREAN HAUPT,owner_operator,,J. F. Desmond Family Limited Partnership,,1.000,,,2026-04-24T11:41:20.607143+00:00,
"E.M. Thomas Management, Inc.",1,"E.M. THOMAS MANAGEMENT, INC. (1322349)",1322349,Active,Stock Corporation - CA - General,10/29/1984,CALIFORNIA,IMRAN AHMED,Individual,True,"177 BUSINESS CENTER DR, CORONA, CA  92878","177 BUSINESS CENTER DR, CORONA, CA 92878","177 BUSINESS CENTER DR, CORONA,CA92878",10/31/2026,,Good,Good,Good,Good,True,IMRAN AHMED,owner_operator,,"E.M. Thomas Management, Inc.",,1.000,,,2026-04-24T11:41:43.347607+00:00,
"Shahs Of Shiraz, Inc",1,"SHAHS OF SHIRAZ, INC. (3703468)",3703468,Active,Stock Corporation - CA - General,08/22/2014,CALIFORNIA,NASSER ALIABADI,Individual,True,"7011 KOLL CENTER PKWY, #150, PLEASANTON, CA  94566","7011 KOLL CENTER PKWY, #150, PLEASANTON, CA 94566","7011 KOLL CENTER PKWY, #150, PLEASANTON,CA94566",08/31/2026,,Good,Good,Good,Good,True,NASSER ALIABADI,owner_operator,shared_principal_address:2; shared_agent:2,"Shahs Of Shiraz, Inc",,1.000,,,2026-04-24T11:41:52.623758+00:00,
"Slo Life Company, Llc",1,"SLO LIFE COMPANY, LLC (200715010335)",200715010335,Active,Limited Liability Company - CA,04/30/2007,CALIFORNIA,JEFFREY S. OLDS,Individual,True,"446 PRINTZ ROAD, ARROYO GRANDE, CA  93420","446 PRINTZ ROAD, ARROYO GRANDE, CA 93420","PO BOX 489, ARROYO GRANDE,CA93421",04/30/2027,,Good,Good,Good,Good,True,JEFFREY S. OLDS,owner_operator,,"Slo Life Company, Llc",,1.000,,,2026-04-24T11:42:28.153977+00:00,
"Kentucky Fried Chicken Of Polly'S, Inc.",1,"KENTUCKY FRIED CHICKEN OF POLLY'S, INC. (1162145)",1162145,Active,Stock Corporation - CA - General,11/10/1982,CALIFORNIA,J. Michael Cardinal,Individual,True,"1150 E. ORANGETHORPE AVENUE, SUITE 101, PLACENTIA, CA  92870","1150 E. ORANGETHORPE AVENUE, SUITE 101, PLACENTIA, CA 92870","1150 E. ORANGETHORPE AVENUE, SUITE 101, PLACENTIA,CA92870",11/30/2026,,Good,Good,Good,Good,True,J. Michael Cardinal,owner_operator,,"Kentucky Fried Chicken Of Polly'S, Inc.",,1.000,,,2026-04-24T11:42:41.667957+00:00,
"Summit Pizza West, Llc(1)",1,"SUMMIT PIZZA WEST, LLC (201022410022)",201022410022,Active,Limited Liability Company - CA,08/11/2010,CALIFORNIA,GLEN R SEGAL,Individual,True,"19800 MACARTHUR BLVD., STE 1000, IRVINE, CA  92612","600 NW MOCK AVE, BLUE SPRINGS, MO 64014-2412","600 NW MOCK AVE, BLUE SPRINGS,MO64014-2412",08/31/2026,,Good,Good,Good,Good,False,GLEN R SEGAL (no addr match),individual_agent_offsite,,"Summit Pizza West, Llc",,1.000,,,2026-04-24T12:12:46.851420+00:00,
"Tripart Management Ii, Inc. (Rakesh Kumar, Sunil Kumar, Jose Garzona)",1,"TRIPART MANAGEMENT II, INC. (4050800)",4050800,Active,Stock Corporation - CA - General,07/28/2017,CALIFORNIA,MICHAEL J NOLAND,Individual,True,"219 N DOUTY ST, HANFORD, CA  93230","1118 CHESS DRIVE, FOSTER CITY, CA 94404-1103","1118 CHESS DRIVE, FOSTER CITY,CA94404-1103",07/31/2026,,Good,Good,Good,Good,False,MICHAEL J NOLAND (no addr match),individual_agent_offsite,,"Tripart Management Ii, Inc.",,1.000,,,2026-04-24T12:18:08.135850+00:00,
