brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
KFC,"West Quality Food Service, Inc.",2600 U.S. Highway 90,Gautier,MS,39553,601/649-2522
KFC,"West Quality Food Service, Inc.",1923 Highway 82 East,Greenville,MS,38703,601/649-2522
KFC,"West Quality Food Service, Inc.",801 West Park Avenue,Greenwood,MS,38930,601/649-2522
KFC,Fred L. Ruth,699 Sunset Drive,Grenada,MS,38901,662/226-4686
KFC,"West Quality Food Service, Inc.",12208 Highway 49,Gulfport,MS,39503,601/649-2522
KFC,"West Quality Food Service, Inc.",817 Cowan Road,Gulfport,MS,39507,601/649-2522
KFC,"West Quality Food Service, Inc.",5330 Old Highway 11,Hattiesburg,MS,39402,601/649-2522
KFC,"West Quality Food Service, Inc.",605 Broadway,Hattiesburg,MS,39401,601/649-2522
KFC,"West Quality Food Service, Inc.",28073 Highway 28,Hazlehurst,MS,39083,601/649-2522
KFC,"West Quality Food Service, Inc.",2620 McIngvale Road,Hernando,MS,38632,601/649-2522
KFC,"West Quality Food Service, Inc.",620 Highway 7,Holly Springs,MS,38635,601/649-2522
KFC,"West Quality Food Service, Inc.",1005 Goodman Road,Horn Lake,MS,38637,601/649-2522
KFC,"Tasty Chick'N Southeast, Llc",450 N. Jackson,Houston,MS,38851,310/943-4997
KFC,"R & J Foods, Llc",1014 Highway 82,Indianola,MS,38751,662/839-2744
KFC,"Franchise Management Investors Us, Llc",220 W. Woodrow Wilson Avenue,Jackson,MS,39213,506/323-1878
KFC,"Franchise Management Investors Us, Llc",3198 West Northside Drive,Jackson,MS,39213,506/323-1878
KFC,"Franchise Management Investors Us, Llc",3296 Highway 80 West,Jackson,MS,39204,506/323-1878
KFC,"West Quality Food Service, Inc.",44 Veterans Memorial Drive,Kosciusko,MS,39090,601/649-2522
KFC,"West Quality Food Service, Inc.",715 North 16th Avenue,Laurel,MS,39440,601/649-2522
KFC,"West Quality Food Service, Inc.",958 W. Main Street,Louisville,MS,39339,601/649-2522
KFC,"West Quality Food Service, Inc.",236 KFC Road,Macon,MS,39341,601/649-2522
KFC,"Franchise Management Investors Us, Llc",225 Pinola Drive,Magee,MS,39111,506/323-1878
KFC,"West Quality Food Service, Inc.",123 Presley Boulevard,Mccomb,MS,39648,601/649-2522
KFC,"West Quality Food Service, Inc.",1804 North Frontage Road,Meridian,MS,39301,601/649-2522
KFC,"West Quality Food Service, Inc.",2437 North Hills Street,Meridian,MS,39305,601/649-2522
KFC,"Franchise Management Investors Us, Llc",24 Sargent Prentiss,Natchez,MS,39120,506/323-1878
KFC,"West Quality Food Service, Inc.",112 Park Plaza,New Albany,MS,38652,601/649-2522
